微博正文
【润州“青春防护线”助力企业复工复产】新冠肺炎疫情发生以来，润州团区委各支青年突击队奋战在抗疫一线，详细了解各企业的复工时间，耐心倾听企业在复工复产过程中所遇到的困难和需求，及时为他们送上消毒液、洗手液、手套等防控物资，为企业防控疫情、有序复工生产筑起一道青春防护线。   金恺 文雯 摄影报道 原图 
【疫情防控期间如何就医？】随着我省将疫情防控一级响应调整为二级响应，医院的门诊、急诊和手术量开始攀升。但容不得有丝毫放松的防疫形势势必对医院的防控工作带来挑战，对市民的就医方式产生影响。面对日常门、急诊量已经恢复往常1/3的现状，市一院一方面通过调整接诊方式来做好院内防控，一方面也希望广大患者就医时能够通过多种方式来避让高峰、减少感染的风险。 [组图共2张] 原图 
【镇江市区开放式游园绿地防护到位】随着疫情防控由一级调整为二级，一些市民走出家门透口气，市区开放式游园绿地的游人逐渐多起来。记者2月27日采访了解到，相关管护单位每天对园内卫生进行保洁，对亭廊、座椅、健身器材、垃圾桶等公用设施进行消毒处理，对聚集人群进行劝阻和劝离，确保这些游园绿地不成为疫情传播的载体。 [组图共2张] 原图 
【江苏省首例新冠肺炎重型病例出院】2月29日下午16时许，杨光（化名）在医护人员陪同下，走出镇江市第一人民医院重症医学科负压病房。这位江苏省首例新冠肺炎重型病例，经历35天隔离救护后的转危为安、顺利出院，足以令每一位关心他的人感到宽慰。  [组图共2张] 原图 
【今天起凭“健康码”乘坐公交】昨天，记者从公交部门了解到，根据市新型冠状病毒肺炎疫情防控指挥部2月27日发布的《关于全面使用“镇江健康码”科学精准防控疫情的通告》的具体要求，自3月1日起市公交部门将全面实施乘客凭本人“镇江健康码”乘坐公交车工作，请广大市民理解、配合、支持。  原图 
【马明龙赴江苏大学调研】2月28日上午，市委书记马明龙赴江苏大学调研疫情防控、科研创新和学科建设等工作。他强调，要坚持底线思维，严之又严地抓好疫情防控，一以贯之地瞄准创建高水平大学目标，落实好省市共建合作协议，彰显特色优势，不断巩固提升，打响名城、名校、名专业的品牌，为镇江高质量发展提供有力支撑。 原图 
【干货转存！#疫情防控期间各科医生的100条建议#】眼科患者、心内科患者、准妈妈……疫情防控期间不同人群看病都有哪些注意事项？各科医生的100条建议↓↓转给需要的人！（人民日报）  [组图共11张] 原图 
【润州区见义勇为基金会慰问赴湖北支援医生家属】昨天上午，润州区见义勇为基金会慰问了赴湖北支援医生栾立敏的家属陈波。润州区卫健委副书记李忠介绍，栾立敏是黎明社区卫生中心的医生。2月7日，他主动请缨赴武汉参加抗击新冠肺炎的战役。抗疫以来，他不顾安危奔波在武汉相关社区，指导社区防疫工作，对有发热等症状的居民及时处理。润州区见义勇为基金会感谢栾立敏家属的鼎力支持，让栾医生在武汉专心工作。（褚楚 范海罡） 
【镇江增设应对疫情心理援助专线】即日起，我市增设应对新冠肺炎疫情心理援助免费专线，号码为0511-88771000，为公众提供免费、全天候的心理援助服务。  原图 
【市领导调研推进建筑工程项目复工和长江沿线造林绿化】28日上午，副市长胡宗元现场调研建筑工程项目复工情况，推进长江沿线造林绿化工作，并就统筹疫情防控和经济社会发展提出要求。  原图 
